"Gene.stable.ID"	"location_sortable"	"GNF"	"Mabbott"	"Doig"	"Freeman2012_pig"	"SkinSig_3study"
"ENSG00000004848"	"Xp21.3"	NA	"High in some ES cells"	NA	NA	NA
"ENSG00000004864"	"07q21.3"	NA	"High in LPS/IFNg-treated neutrophils"	NA	"Liver>kidney"	NA
"ENSG00000004866"	"07q31.2"	NA	NA	NA	"Cerebellum>>other CNS"	NA
"ENSG00000004897"	"17q21.32"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000004939"	"17q21.31"	"High_in_bone_marrow/foetal_liver_(erythrocyte)"	"High in BM progenitors|High in erythroblasts:BM"	NA	"Bone marrow>>blood>BMDM"	NA
"ENSG00000004948"	"07q21.3"	NA	NA	NA	"CNS-high in spinal cord (Astrocyte?)"	NA
"ENSG00000004961"	"Xp22"	NA	NA	NA	"General (oxidative phosphorylation)"	NA
"ENSG00000004975"	"17p13.1"	NA	NA	NA	NA	NA
"ENSG00000005001"	"16p13.3"	NA	"High in epithelial cells:low in keratinocytes"	NA	"Cluster0906"	NA
"ENSG00000005007"	"19p13.11"	NA	NA	"[557"	NA	NA
"ENSG00000005020"	"07p15.2"	NA	NA	"[328"	NA	NA
"ENSG00000005022"	"Xq24"	NA	NA	"[179"	NA	NA
"ENSG00000005059"	"04q25"	NA	NA	NA	"Cluster0749"	NA
"ENSG00000005073"	"07p15.2"	NA	NA	NA	"Female reproductive (ESR1)"	NA
"ENSG00000005075"	"07q11.2"	NA	NA	NA	NA	NA
"ENSG00000005100"	"17p13"	NA	"High in ES/iPS cells"	NA	NA	NA
"ENSG00000005102"	"17q21.31"	NA	NA	NA	"Snout tendon>trachea (Cartilidge)"	NA
"ENSG00000005108"	"07p21.3"	NA	"Spike in some ES cells"	"[368"	"CNS-high in spinal cord (Astrocyte?)"	NA
"ENSG00000005156"	"17q11.2-q12"	NA	"High in LPS/IFNg-treated neutrophils|High in ES/iPS cells"	NA	NA	NA
"ENSG00000005175"	"12q13.11"	NA	NA	NA	"Tongue>skin"	NA
"ENSG00000005187"	"16p13.11"	NA	NA	NA	"Fallopian tube>adult testis"	"Ductal epithelium (sebaceous gland)"
"ENSG00000005194"	"16q21"	"High_in_Testis"	"Oocyte-related"	"[241"	NA	NA
"ENSG00000005206"	"19p13.3"	NA	NA	"Cell cycle related?"	NA	NA
"ENSG00000005238"	"09p13.2"	NA	NA	NA	NA	NA
"ENSG00000005243"	"17q21.32"	NA	"Extracellular matrix"	"ECM"	"General low in macs-CNS (fibroblast/ECM)"	"Fibroblast"
"ENSG00000005249"	"07q22.3"	"High_in_foetal_brain"	"High in platelets"	NA	"Cluster1119"	"Adipocyte"
"ENSG00000005302"	"Xp22.3"	NA	"[0069"	NA	NA	NA
"ENSG00000005339"	"16p13.3"	NA	"[0367"	NA	"Blood>>macs-other immune"	NA
"ENSG00000005381"	"17q22"	"High_in_bone_marrow"	"High in BM progenitors"	NA	"Bone marrow>>blood>BMDM"	NA
"ENSG00000005421"	"07q21.3"	"High_in_Liver"	"Hepatocyte-related"	NA	"Liver (hepatocyte)"	NA
"ENSG00000005436"	"02p12"	NA	NA	NA	NA	NA
"ENSG00000005448"	"02p13.1"	NA	NA	NA	"Cluster0208"	NA
"ENSG00000005469"	"07q21.1"	NA	NA	NA	NA	NA
"ENSG00000005471"	"07q21"	NA	"[0270"	NA	NA	NA
"ENSG00000005483"	"07q22.1"	NA	NA	NA	NA	NA
"ENSG00000005486"	"07q11"	NA	NA	NA	"Cluster0806"	NA
"ENSG00000005513"	"16p13.3"	NA	"[0145"	NA	"CNS-high in spinal cord (Astrocyte?)"	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000005700"	"06q14.3"	NA	NA	NA	NA	NA
"ENSG00000005801"	"11p15.5"	NA	"High in ES/iPS cells"	NA	NA	NA
"ENSG00000005810"	"13q22"	"General_HK"	NA	NA	NA	NA
"ENSG00000005812"	"13q22"	NA	NA	NA	NA	NA
"ENSG00000005844"	"16p11.2"	"High_in_Immune_cells_(T/B-cells,macs)"	NA	"T-cell"	"Alveloar macs>>other macs"	NA
"ENSG00000005882"	"17q21.33"	NA	NA	NA	NA	NA
"ENSG00000005884"	"17q21.33"	NA	NA	NA	"Cluster0455"	NA
"ENSG00000005889"	"Xp22.1-p21.3"	NA	"High in LPS/IFNg-treated neutrophils"	NA	"Cluster0686"	NA
"ENSG00000005893"	"Xq24"	"[083"	NA	NA	"Cluster0352"	NA
"ENSG00000005955"	"17q12"	NA	"High in NK cells"	NA	"Cluster0089"	NA
"ENSG00000005961"	"17q21.32"	NA	"High in platelets"	NA	"Blood>>macs-other immune"	NA
"ENSG00000005981"	"07q21-q22"	NA	NA	NA	"Skeletal muscle>heart"	NA
"ENSG00000006007"	"16p12-p11.2"	NA	NA	"Cell cycle related?"	NA	NA
"ENSG00000006015"	"19p13.11"	NA	NA	NA	NA	NA
"ENSG00000006016"	"19p12"	"High_in_adipocyte"	"High in Schwann cells"	NA	NA	NA
"ENSG00000006025"	"17q21"	NA	NA	NA	NA	NA
"ENSG00000006042"	"17q11.2"	NA	NA	NA	NA	NA
"ENSG00000006047"	"17p13.1"	"High_in_Testis"	"Spermatocyte-related"	NA	"Testis-adult"	NA
"ENSG00000006059"	"17q21.2"	NA	NA	NA	NA	"Hair follicle"
"ENSG00000006062"	"17q21.31"	NA	"High in stimulated MDDC"	NA	NA	NA
"ENSG00000006071"	"11p15.1"	NA	NA	NA	"CNS-highest in cortex"	NA
"ENSG00000006074"	"17q12"	"General_higher_in_peripheral_tissues_(MHC_class1)|High_in_Immune_cells_(T/B-cells,macs)"	"High in stimulated MDM: MDDC"	NA	NA	NA
"ENSG00000006075"	"17q12"	NA	"High in stimulated monocytes/MDM/MDDC/neutrophils: Pro-inflammatory"	NA	NA	NA
"ENSG00000006114"	"17q12"	NA	"High in some lymphocytes"	NA	NA	NA
"ENSG00000006116"	"16p12.1"	NA	NA	NA	"CNS-highest in cortex"	NA
"ENSG00000006118"	"11q12.2"	NA	"High in epithelium"	NA	NA	NA
"ENSG00000006125"	"17q12"	NA	NA	NA	"Cluster0376"	NA
"ENSG00000006128"	"07q21-q22"	NA	NA	NA	NA	NA
"ENSG00000006194"	"16p13.3"	NA	NA	NA	NA	NA
"ENSG00000006210"	"16q13"	NA	NA	NA	"Cluster0246"	NA
"ENSG00000006282"	"17q21.33"	NA	NA	NA	"Testis-adult"	NA
"ENSG00000006283"	"17q22"	NA	NA	"HK"	"Cerebellum>others"	NA
"ENSG00000006327"	"16p13.3"	"General_HK_(ribosone,proteasome, etc)"	"High in mesenchymal cells"	NA	NA	NA
"ENSG00000006377"	"07q21.3"	NA	NA	NA	"Cervix-uterus"	NA
"ENSG00000006432"	"14q24.2"	"High_in_CNS"	"High in keratinocytes:epithelium|High in ES cells/iPS cells/epithelium/keratinocytes/BM progenitors"	NA	"Cluster0447"	"Keratinocyte"
"ENSG00000006451"	"07p22-p15"	"High_in_Smooth/cardiac_musle"	NA	NA	NA	NA
"ENSG00000006453"	"07q22.1"	NA	"High in LPS/IFNg-treated neutrophils"	NA	"General high -low in CNS"	NA
"ENSG00000006468"	"07p22"	NA	NA	"[284"	NA	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000006530"	"07q34"	NA	"[0273"	NA	NA	NA
"ENSG00000006534"	"11q13"	NA	NA	NA	NA	NA
"ENSG00000006555"	"01p32.3"	NA	"High in keratinocytes:epithelium"	NA	"Cluster1604"	NA
"ENSG00000006576"	"07q11.23-q21.11"	NA	NA	NA	NA	NA
"ENSG00000006606"	"07q11.2"	NA	"High in stimulated MDDC"	NA	NA	NA
"ENSG00000006607"	"02q37.3"	NA	NA	NA	NA	NA
"ENSG00000006611"	"11p14.3"	NA	"Low in many"	NA	NA	NA
"ENSG00000006625"	"07p15-p14"	"General_HK"	"High in keratinocytes:epithelium"	NA	NA	NA
"ENSG00000006634"	"07q21.3"	"High_in_Testis"	NA	"Cell cycle (G1/S phase)"	"Testis>other (Cell cycle related)"	NA
"ENSG00000006638"	"19p13.3"	NA	"Phagocyte-related: High in MDM:MDDC: Low in monocytes|High in platelets|Low in tissue stem cells"	"[034|041"	NA	NA
"ENSG00000006652"	"07q31.1"	NA	"High in BM:monocytes:neutrophils"	NA	NA	NA
"ENSG00000006659"	"19q13.2"	NA	NA	NA	NA	NA
"ENSG00000006695"	"17p12"	NA	NA	NA	"HK1"	NA
"ENSG00000006704"	"07q11.23"	NA	NA	NA	"HK2-low in macs"	NA
"ENSG00000006712"	"19q13.1"	"[342"	"High in LPS/IFNg-treated neutrophils"	NA	"Cluster0376"	NA
"ENSG00000006715"	"07p14.1-p13"	NA	NA	NA	"Cluster0088"	NA
"ENSG00000006740"	"17p12"	NA	NA	NA	"CNS-highest in cortex"	NA
"ENSG00000006744"	"17p11.2"	"General_HK_(ribosone,proteasome, etc)"	"High in many"	"[536"	NA	NA
"ENSG00000006747"	"07p21.3"	NA	NA	NA	NA	NA
"ENSG00000006756"	"Xp22.3"	"[367"	"Low in many"	"HK"	"General but not even (olfactory receptors)"	NA
"ENSG00000006757"	"Xp22.3"	"Cornified_epithelium_(Brochial_epthelium/tongue)"	"[0106"	NA	NA	NA
"ENSG00000006788"	"17p13.1"	NA	"Low in tissue stem cells"	"HK"	NA	NA
"ENSG00000006831"	"12p13"	NA	NA	NA	NA	NA
"ENSG00000006837"	"05q31.1"	NA	"Spermatocyte-related"	NA	NA	NA
"ENSG00000007001"	"02q24.2"	NA	"Hepatocyte-related"	NA	"Kidney cortex>medulla-liver"	NA
"ENSG00000007038"	"16p13.3"	NA	NA	NA	"Thymus>Blood>slpeen (T cell)"	NA
"ENSG00000007047"	"19q13.32"	NA	NA	NA	"HK1"	NA
"ENSG00000007062"	"04p15"	NA	"High in ES/iPS cells"	NA	"Cluster0651"	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000007080"	"19p13.11"	NA	"[0199"	NA	NA	NA
"ENSG00000007129"	"19q13.2"	NA	"High in BM:myelocytes"	NA	NA	NA
"ENSG00000007168"	"17p13.3"	"High_in_Testis|High_in_CNS"	NA	"[596"	"CNS-highest in cortex"	NA
"ENSG00000007171"	"17q11.2"	NA	NA	NA	"Cluster0812"	NA
"ENSG00000007174"	"17p12"	NA	"High in bronchial epithelium|Low in tissue stem cells"	NA	"Fallopian tube>adult testis"	NA
"ENSG00000007202"	"17q11.2"	NA	NA	"[442"	NA	NA
"ENSG00000007216"	"17p13.2"	NA	NA	"HK"	"Small instetine>>kidney-liver"	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000007237"	"17p13.1"	"High_in_Cerebellum|High_in_CNS"	NA	"[432"	NA	"Keratinocyte"
"ENSG00000007255"	"19q13.32"	NA	NA	NA	NA	NA
"ENSG00000007264"	"19p13.3"	NA	NA	NA	NA	NA
"ENSG00000007306"	"19q13.2"	NA	NA	NA	NA	NA
"ENSG00000007312"	"17q23"	"High_in_Immune_cells_(T/B-cells,macs)"	"B cell-related|Low in tissue stem cells"	"B-cell fragment"	"Small intestine (jej/ileum)>blood-spleen-LN (B cell)"	NA
"ENSG00000007314"	"17q23.3"	NA	NA	NA	"Skeletal muscle>heart"	NA
"ENSG00000007341"	"01p13.1"	NA	"Spermatocyte-related"	NA	"Adrenal gland"	NA
"ENSG00000007350"	"Xq28"	NA	NA	NA	NA	NA
"ENSG00000007372"	"11p13"	"High_in_Pancraetic_islets"	"High in some ES cells"	NA	NA	NA
"ENSG00000007376"	"16p13.3"	NA	NA	NA	NA	NA
"ENSG00000007384"	"16p13.3"	NA	NA	"HK"	"General low in macs-CNS (fibroblast/ECM)"	NA
"ENSG00000007392"	"16p13.3"	NA	NA	NA	"Cluster1936"	NA
"ENSG00000007402"	"03p21.3"	NA	NA	NA	"CNS-highest in cortex"	NA
"ENSG00000007516"	"16p13.3"	NA	NA	NA	"Hind brain>spinal cord"	NA
"ENSG00000007520"	"16p13.3"	NA	"High in LPS/IFNg-treated neutrophils"	"[246"	NA	NA
"ENSG00000007541"	"16p13.3"	NA	"High in erythroblasts:BM"	NA	NA	NA
"ENSG00000007866"	"06p21.2"	"High_in_Placenta>Pituatary"	NA	NA	NA	NA
"ENSG00000007908"	"01q24.2"	NA	NA	NA	"HK2-low in macs"	NA
"ENSG00000007923"	"01p36.23"	"[315"	NA	NA	NA	NA
"ENSG00000007933"	"01q24.3"	"High_in_Liver"	"[0353"	NA	NA	NA
"ENSG00000007944"	"06p22.3"	"High_in_Placenta>Pituatary"	NA	"[282"	NA	NA
"ENSG00000007952"	"Xq22"	NA	"Low in many"	"HK"	"GI tract>>gall bladder"	NA
"ENSG00000007968"	"01p36"	NA	"High in erythroblasts:BM"	NA	"HK1"	NA
"ENSG00000008018"	"06q27"	"General_HK_(ribosone,proteasome, etc)"	"[0175"	NA	"General - Proteosome"	NA
"ENSG00000008056"	"Xp11.2"	NA	NA	NA	"CNS-highest in cortex"	NA
"ENSG00000008083"	"06p24-p23"	NA	NA	NA	NA	NA
"ENSG00000008086"	"Xp22"	NA	"Low in tissue stem cells"	NA	"CNS-highest in cortex"	NA
"ENSG00000008118"	"01q32.2"	"High_in_CNS"	NA	NA	NA	NA
"ENSG00000008128"	"01p36.33"	"[284"	NA	"[296"	NA	NA
"ENSG00000008130"	"01p36.33"	NA	"[0208"	"[169"	"Macs-other immune"	NA
"ENSG00000008196"	"06p12"	NA	"High in neurones"	NA	"HK2-low in macs"	NA
"ENSG00000008197"	"06p12.3"	NA	"Oocyte-related"	NA	"HK1"	NA
"ENSG00000008226"	"03p21.3"	NA	"Low in LPS/IFNg-treated neutrophils"	NA	"Fallopian tube>adult testis"	NA
"ENSG00000008256"	"07p22.1"	NA	"High in tissue DC:pDC:lymphocytes:NK cells|Extracellular matrix"	NA	NA	NA
"ENSG00000008277"	"07q21"	"High_in_CNS"	"High in neurones|Low in tissue stem cells"	NA	"CNS-highest in cortex"	NA
"ENSG00000008282"	"07q22.2"	NA	NA	NA	NA	NA
"ENSG00000008283"	"17q23.3"	"[341"	"High in bronchial epithelium"	NA	NA	NA
"ENSG00000008294"	"17q21.33"	NA	"High in LPS/IFNg-treated neutrophils"	"Cell cycle related?"	"CNS-high in spinal cord (Astrocyte?)"	NA
"ENSG00000008300"	"03p21.31"	NA	"High in ES cells:iPS cells:CD326-CD56+_mesodem_prog: neurones"	NA	NA	NA
"ENSG00000008311"	"07q31.3"	NA	"High in ES/iPS cells"	NA	NA	NA
"ENSG00000008323"	"12p13.31"	NA	NA	NA	"GI tract"	NA
"ENSG00000008324"	"03p21"	NA	NA	NA	"General (oxidative phosphorylation)"	NA
"ENSG00000008382"	"19p13.3"	NA	"Phagocyte-related: High in MDM:MDDC: Low in monocytes"	NA	NA	NA
"ENSG00000008394"	"12p12.3-p12.1"	NA	NA	NA	NA	"Ductal epithelium (sebaceous gland)"
"ENSG00000008405"	"12q23-q24.1"	NA	"[0273"	NA	NA	NA
"ENSG00000008438"	"19q13.32"	"High_in_bone_marrow"	"High in BM:myelocytes"	"[041"	"Bone marrow>>blood>BMDM"	NA
"ENSG00000008441"	"19p13.13"	NA	NA	NA	NA	NA
"ENSG00000008513"	"08q24.22"	"High_in_Smooth/cardiac_musle"	NA	NA	"Cluster1031"	NA
"ENSG00000008516"	"16p13.3"	NA	"High in neutrophils:BM"	NA	NA	NA
"ENSG00000008517"	"16p13.3"	NA	"High in T cells:NK cells:B cells"	"T-cell"	NA	NA
"ENSG00000008710"	"16p13.3"	NA	"Low in tissue stem cells"	"[522"	"Cluster0253"	NA
"ENSG00000008735"	"22q13.33"	"High_in_CNS"	"Low in many"	"HK"	"CNS-highest in cortex"	NA
"ENSG00000008838"	"17q21.2"	NA	NA	NA	NA	NA
"ENSG00000008853"	"08p21.2"	NA	NA	NA	NA	NA
"ENSG00000008869"	"02p22.2"	NA	"High in some lymphocytes"	NA	NA	NA
"ENSG00000008952"	"03q26.2"	NA	NA	NA	"Cluster0905"	NA
"ENSG00000008988"	"08q12.1"	"General_HK_(ribosone,proteasome, etc)"	"Ribosome, eukaryotic translation"	NA	NA	NA
"ENSG00000009307"	"01p13.2"	NA	NA	NA	"Cluster0266"	NA
"ENSG00000009335"	"07q36.3"	NA	"Low in tissue stem cells"	"[090"	NA	NA
"ENSG00000009413"	"06q22"	NA	NA	NA	NA	NA
"ENSG00000009694"	"Xq25"	NA	NA	NA	NA	NA
"ENSG00000009709"	"01p36.13"	NA	"High in some ES cells"	NA	NA	NA
"ENSG00000009724"	"01p36.3-p36.2"	"High_in_Liver"	"Hepatocyte-related"	"HK"	"Liver (hepatocyte)"	NA
"ENSG00000009765"	"06q25.1"	NA	"Hepatocyte-related"	NA	"Thyroid gland"	NA
"ENSG00000009780"	"01p35.3"	NA	NA	NA	NA	NA
"ENSG00000009790"	"01q32.3-q41"	"High_in_Immune_cells_(T/B-cells,macs)"	"High in T cells:NK cells:B cells"	"T-cell"	"Blood-immune organs>GI tract (immune)"	NA
"ENSG00000009830"	"14q24"	NA	NA	NA	"Testis-adult"	NA
"ENSG00000009844"	"06q24.1"	NA	NA	NA	"Cluster0786"	NA
"ENSG00000009950"	"07q11.23"	NA	NA	"HK"	"Liver (hepatocyte)"	NA
"ENSG00000009954"	"07q11.23"	NA	"Cell cycle (S/M phase)"	NA	"Cluster0255"	NA
"ENSG00000010017"	"06p23"	"High_in_Testis"	"High in LPS/IFNg-treated neutrophils"	NA	"Cluster0089"	NA
"ENSG00000010030"	"06p21"	NA	"High in LPS/IFNg-treated neutrophils"	NA	"LPS induced (high in other tissues)"	NA
"ENSG00000010072"	"01q42.12-q43"	NA	NA	NA	NA	NA
"ENSG00000010165"	"01q24-q25.3"	NA	NA	NA	"Cluster0197"	NA
"ENSG00000010219"	"12p13.32"	NA	NA	NA	"Testis-adult"	NA
"ENSG00000010244"	"17q11.2"	"General_HK"	"High in some lymphocytes"	"Cell cycle related?"	"Cluster0569"	NA
"ENSG00000010256"	"03p21"	"High_in_Cardiac_muscle"	NA	NA	"General (oxidative phosphorylation)"	NA
"ENSG00000010270"	"07p14-p13"	NA	NA	NA	NA	NA
"ENSG00000010278"	"12p13"	NA	NA	NA	NA	NA
"ENSG00000010282"	"03p22"	NA	NA	NA	"Skeletal muscle>heart"	NA
"ENSG00000010292"	"12p13.31"	"Cell_cycle_(S/M_phase)"	"Cell cycle (S/M phase)"	"[423"	"Many (cell cycle)"	NA
"ENSG00000010295"	"12p13.31"	NA	NA	"[339"	NA	NA
"ENSG00000010310"	"19q13.32"	NA	NA	"HK"	NA	NA
"ENSG00000010318"	"03p21.31"	"High_in_Testis"	"Spermatocyte-related"	NA	"Testis-adult"	NA
"ENSG00000010319"	"03p21.1"	NA	NA	NA	NA	NA
"ENSG00000010322"	"03p21.1"	NA	"High in CD8+ T cells: NK cells"	"[317"	"HK3"	NA
"ENSG00000010327"	"03p21.31"	"[234"	"High in endothelium"	"[360"	"Alveloar macs>>other macs"	NA
"ENSG00000010361"	"19q13.33"	NA	NA	NA	NA	NA
"ENSG00000010379"	"12p13.33"	NA	"Spike in some ES cells"	NA	NA	NA
"ENSG00000010404"	"Xq27.3-q28"	"High_in_CNS|High_in_Pancraetic_islets"	"[0247|0130"	"[188"	"CNS-high in spinal cord (Astrocyte?)"	NA
"ENSG00000010438"	"09p13"	"High_in_Pancreas"	"High in keratinocytes:epithelium"	"[205"	NA	NA
"ENSG00000010539"	"16p13.3"	NA	NA	NA	"Testis>alveolar mac"	NA
"ENSG00000010610"	"12p13.31"	"High_in_thymus/lymph_node_(T-cell)"	"[0351"	"Macrophage"	"Thymus>Blood>slpeen (T cell)"	NA
"ENSG00000010626"	"12p13"	NA	"High in bronchial epithelium"	NA	"Fallopian tube>adult testis"	NA
"ENSG00000010671"	"Xq21.33-q22"	"High_in_Immune_cells_(T/B-cells,macs)"	NA	"T-cell"	"Macs-other immune"	"Fc?R signalling"
"ENSG00000010704"	"06p21.3"	NA	NA	"[190|580"	NA	NA
"ENSG00000010803"	"01p34"	NA	NA	NA	NA	NA
"ENSG00000010810"	"06q21"	NA	NA	NA	"Spinal cord 1 rep only (tech artefact)"	NA
"ENSG00000010818"	"06q23-q24"	"High_in_foetal_brain"	"High in LPS/IFNg-treated neutrophils"	NA	NA	NA
"ENSG00000010932"	"01q24.3"	"High_in_Kidney>Liver"	"[0102"	NA	"Cluster0925"	NA
"ENSG00000011007"	"01p36.1"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000011009"	"01p36.11"	"General_Higher_in_Liver(others)"	NA	NA	NA	NA
"ENSG00000011021"	"01p36.22"	NA	NA	NA	"Sinal cord>macrophage"	NA
"ENSG00000011028"	"17q23"	"High_in_Smooth/cardiac_musle"	"Extracellular matrix"	"ECM|HK"	"General low in macs-CNS (fibroblast/ECM)"	"Fibroblast"
"ENSG00000011083"	"05q32"	NA	NA	NA	NA	NA
"ENSG00000011105"	"12p13.33-p13.32"	NA	NA	NA	NA	NA
"ENSG00000011114"	"14q32.13"	NA	NA	NA	NA	NA
"ENSG00000011132"	"19p13.3"	NA	NA	NA	NA	NA
"ENSG00000011143"	"17q21-q24"	NA	NA	NA	NA	NA
"ENSG00000011198"	"03p21.33"	NA	NA	NA	NA	NA
"ENSG00000011243"	"19p13.12"	NA	"[0151|0149"	"HK"	NA	NA
"ENSG00000011258"	"17q21.33"	NA	"High in some lymphocytes"	"HK specific cluster"	"Cluster1839"	NA
"ENSG00000011260"	"17q21.33"	NA	NA	"[161"	NA	NA
"ENSG00000011275"	"07p22.1"	NA	"Spermatocyte-related"	NA	NA	NA
"ENSG00000011295"	"17p11.2"	"General_HK"	"[0317"	NA	NA	NA
"ENSG00000011304"	"19p13.3"	"General_HK_(ribosone,proteasome, etc)|General_HK"	"[0295"	"Cell cycle related?"	"HK6"	NA
